date,observer,bug_ID,zoom,units,hw_mm
3/31/2021,KG,89F,4.5,60,1.33
3/31/2021,KG,11E,4.5,73,1.62
3/31/2021,KG,55B,4.5,67,1.49
3/31/2021,KG,06A,4.5,100,2.22
3/31/2021,KG,38C,3.5,97,2.77
3/31/2021,KG,60C,4.5,58,1.29
3/31/2021,KG,19D,4.5,80,1.78
3/31/2021,KG,13A,4.5,78,1.73
3/31/2021,KG,99F,4.5,56,1.24
3/31/2021,KG,68E,4.5,62,1.38
3/31/2021,KG,53C,4.5,72,1.60
3/31/2021,KG,16F,4.5,76,1.69
3/31/2021,KG,66B2,4.5,54,1.20
3/31/2021,KG,03F,4.5,72,1.60
3/31/2021,KG,48F,4.5,68,1.51
4/7/2021,KG,53C,4.5,72,1.60
4/7/2021,KG,99F,4.5,55,1.22
4/7/2021,KG,38C,3.5,96,2.74
4/7/2021,KG,68E,4.5,63,1.40
4/7/2021,KG,06A,4.5,100,2.22
4/7/2021,KG,89F,4.5,60,1.33
4/7/2021,KG,66B2,4.5,59,1.31
4/7/2021,KG,19D,4.5,81,1.80
4/7/2021,KG,11E,4.5,73,1.62
4/7/2021,KG,55B,4.5,66,1.47
4/7/2021,KG,03F,4.5,71,1.58
4/7/2021,KG,16F,4.5,76,1.69
4/7/2021,KG,13A,4.5,79,1.76
4/13/2021,KG,19D,4.5,81,1.80
4/13/2021,KG,38C,3.5,95,2.71
4/13/2021,KG,55B,4.5,66,1.47
4/13/2021,KG,53C,4.5,72,1.60
4/13/2021,KG,66B2,4.5,58,1.29
4/13/2021,KG,11E,4.5,73,1.62
4/13/2021,KG,16F,4.5,75,1.67
4/13/2021,KG,89F,4.5,60,1.33
4/13/2021,KG,03F,4.5,72,1.60
4/13/2021,KG,13A,4.5,78,1.73
3/31/2021,AB,66B2,4.5,54,1.20
3/31/2021,AB,55B,4.5,63,1.40
3/31/2021,AB,48F,4.5,65,1.44
3/31/2021,AB,60C,4.5,58,1.29
3/31/2021,AB,19D,4.5,80,1.78
3/31/2021,AB,16F,4.5,75,1.67
3/31/2021,AB,03F,4.5,72,1.60
3/31/2021,AB,53C,4.5,71,1.58
3/31/2021,AB,68E,4.5,62,1.38
3/31/2021,AB,13A,4.5,78,1.73
3/31/2021,AB,89F,4.5,60,1.33
3/31/2021,AB,99F,4.5,55,1.22
3/31/2021,AB,11E,4.5,72,1.60
3/31/2021,AB,38C,3.5,96,2.74
3/31/2021,AB,06A,4.5,100,2.22
4/7/2021,AB,66B2,4.5,59,1.31
4/7/2021,AB,55B,4.5,65,1.44
4/7/2021,AB,06A,4.5,99,2.20
4/7/2021,AB,68E,4.5,59,1.31
4/7/2021,AB,11E,4.5,75,1.67
4/7/2021,AB,38C,3.5,96,2.74
4/7/2021,AB,19D,4.5,80,1.78
4/7/2021,AB,53C,4.5,72,1.60
4/7/2021,AB,16F,4.5,75,1.67
4/7/2021,AB,13A,4.5,79,1.76
4/7/2021,AB,03F,4.5,73,1.62
4/7/2021,AB,89F,4.5,64,1.42
